Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
3,18,ReLU,0.8999999999999999,0.5807259073842302
3,18,ReLU,0.9999999999999999,0.5657071339173968
3,18,ReLU,1.0999999999999999,0.5944931163954944
3,18,ReLU,1.2,0.5456821026282853
3,18,ReLU,1.3,0.5356695869837297
3,18,Sigmoid,1.4000000000000001,0.6733416770963705
3,18,Sigmoid,1.5000000000000002,0.5644555694618273
3,18,Sigmoid,1.6000000000000003,0.5619524405506884
3,18,Sigmoid,1.7000000000000004,0.6508135168961201
3,18,Sigmoid,1.8000000000000005,0.6470588235294118
3,18,Sigmoid,1.9000000000000006,0.6257822277847309
3,18,Sigmoid,2.0000000000000004,0.6207759699624531
3,18,Sigmoid,2.1000000000000005,0.5894868585732165
3,18,Softmax,3.0000000000000013,0.47309136420525655
3,18,Softmax,3.1000000000000014,0.3141426783479349
3,18,Softmax,3.2000000000000015,0.3566958698372966
3,18,Softmax,3.3000000000000016,0.32916145181476847
3,18,Softmax,3.4000000000000017,0.3141426783479349
3,18,Softmax,3.5000000000000018,0.45807259073842305
3,18,Softmax,3.600000000000002,0.3141426783479349
3,18,Softmax,3.700000000000002,0.43679599499374216
3,18,Tanh,2.2000000000000006,0.42177722152690866
3,18,Tanh,2.3000000000000007,0.37797246558197745
3,18,Tanh,2.400000000000001,0.409261576971214
3,18,Tanh,2.500000000000001,0.38172715894868586
3,18,Tanh,2.600000000000001,0.36545682102628285
3,18,Tanh,2.700000000000001,0.4117647058823529
3,18,Tanh,2.800000000000001,0.33917396745932415
3,18,Tanh,2.9000000000000012,0.31038798498122655
3,19,ReLU,0.6,0.6020025031289111
3,19,ReLU,0.7,0.574468085106383
3,19,ReLU,0.7999999999999999,0.5844806007509387
3,19,ReLU,0.8999999999999999,0.5844806007509387
3,19,ReLU,0.9999999999999999,0.5769712140175219
3,19,ReLU,1.0999999999999999,0.5807259073842302
3,19,ReLU,1.2,0.5807259073842302
3,19,ReLU,1.3,0.49937421777221525
3,19,Sigmoid,1.4000000000000001,0.590738423028786
3,19,Sigmoid,1.5000000000000002,0.6495619524405507
3,19,Sigmoid,1.6000000000000003,0.6583229036295369
3,19,Sigmoid,1.7000000000000004,0.5506883604505632
3,19,Sigmoid,1.8000000000000005,0.6132665832290363
3,19,Sigmoid,1.9000000000000006,0.6695869837296621
3,19,Sigmoid,2.0000000000000004,0.6433041301627034
3,19,Sigmoid,2.1000000000000005,0.6195244055068836
3,19,Softmax,3.0000000000000013,0.32916145181476847
3,19,Softmax,3.1000000000000014,0.3141426783479349
3,19,Softmax,3.2000000000000015,0.3566958698372966
3,19,Softmax,3.3000000000000016,0.3141426783479349
3,19,Softmax,3.4000000000000017,0.3566958698372966
3,19,Softmax,3.5000000000000018,0.3566958698372966
3,19,Softmax,3.600000000000002,0.3566958698372966
3,19,Softmax,3.700000000000002,0.3141426783479349
3,19,Tanh,2.2000000000000006,0.4568210262828536
3,19,Tanh,2.3000000000000007,0.48685857321652065
3,19,Tanh,2.400000000000001,0.32540675844806005
3,19,Tanh,2.500000000000001,0.392991239048811
3,19,Tanh,2.600000000000001,0.3742177722152691
3,19,Tanh,2.700000000000001,0.31038798498122655
3,19,Tanh,2.800000000000001,0.376720901126408
3,19,Tanh,2.9000000000000012,0.3566958698372966
3,20,ReLU,0.6,0.5969962453066333
3,20,ReLU,0.7,0.6207759699624531
3,20,ReLU,0.7999999999999999,0.5982478097622027
3,20,ReLU,0.8999999999999999,0.6070087609511889
3,20,ReLU,0.9999999999999999,0.5782227784730913
3,20,ReLU,1.0999999999999999,0.5607008760951189
3,20,ReLU,1.2,0.5607008760951189
3,20,ReLU,1.3,0.5807259073842302
3,20,Sigmoid,1.4000000000000001,0.5969962453066333
3,20,Sigmoid,1.5000000000000002,0.5794743429286608
3,20,Sigmoid,1.6000000000000003,0.6620775969962454
3,20,Sigmoid,1.7000000000000004,0.6132665832290363
3,20,Sigmoid,1.8000000000000005,0.6282853566958698
3,20,Sigmoid,1.9000000000000006,0.5632040050062578
3,20,Sigmoid,2.0000000000000004,0.6520650813516896
3,20,Sigmoid,2.1000000000000005,0.6332916145181476
3,20,Softmax,3.0000000000000013,0.3141426783479349
3,20,Softmax,3.1000000000000014,0.3141426783479349
3,20,Softmax,3.2000000000000015,0.3566958698372966
3,20,Softmax,3.3000000000000016,0.3566958698372966
3,20,Softmax,3.4000000000000017,0.3141426783479349
3,20,Softmax,3.5000000000000018,0.3566958698372966
3,20,Softmax,3.600000000000002,0.32916145181476847
3,20,Softmax,3.700000000000002,0.3141426783479349
3,20,Tanh,2.2000000000000006,0.36795994993742176
3,20,Tanh,2.3000000000000007,0.3879849812265332
3,20,Tanh,2.400000000000001,0.37797246558197745
3,20,Tanh,2.500000000000001,0.38423028785982477
3,20,Tanh,2.600000000000001,0.3742177722152691
3,20,Tanh,2.700000000000001,0.3704630788485607
3,20,Tanh,2.800000000000001,0.3354192740926158
3,20,Tanh,2.9000000000000012,0.3829787234042553
3,21,ReLU,0.6,0.6120150187734669
3,21,ReLU,0.7,0.6182728410513142
3,21,ReLU,0.7999999999999999,0.5944931163954944
3,21,ReLU,0.8999999999999999,0.6032540675844806
3,21,ReLU,0.9999999999999999,0.590738423028786
3,21,ReLU,1.0999999999999999,0.5919899874843555
3,21,ReLU,1.2,0.5456821026282853
3,21,ReLU,1.3,0.5344180225281602
3,21,Sigmoid,1.4000000000000001,0.590738423028786
3,21,Sigmoid,1.5000000000000002,0.6382978723404256
3,21,Sigmoid,1.6000000000000003,0.5269086357947435
3,21,Sigmoid,1.7000000000000004,0.5844806007509387
3,21,Sigmoid,1.8000000000000005,0.6382978723404256
3,21,Sigmoid,1.9000000000000006,0.5444305381727159
3,21,Sigmoid,2.0000000000000004,0.6295369211514393
3,21,Sigmoid,2.1000000000000005,0.6795994993742178
3,21,Softmax,3.0000000000000013,0.32916145181476847
3,21,Softmax,3.1000000000000014,0.32916145181476847
